url,Aircraft Name,First Flight,Aircraft Engines
https://asn.flightsafety.org/database/type/DHC4,de Havilland Canada DHC-4 Caribou, 1958, 2 Piston engines
https://asn.flightsafety.org/database/type/DHC5,de Havilland Canada DHC-5 Buffalo, 1964, 2 Turboprop engines
https://asn.flightsafety.org/database/type/DHC6,de Havilland Canada DHC-6 Twin Otter, 1965, 2 Turboprop engines
https://asn.flightsafety.org/database/type/DHC7,de Havilland Canada DHC-7, 1975, 4 Turboprop engines
https://asn.flightsafety.org/database/type/DH8A,de Havilland Canada DHC-8-100, 1983, 2 Turboprop engines
https://asn.flightsafety.org/database/type/DH8B,de Havilland Canada DHC-8-200, , 2 Turboprop engines
https://asn.flightsafety.org/database/type/DH8C,de Havilland Canada DHC-8-300, 1987, 2 Turboprop engines
https://asn.flightsafety.org/database/type/DH8D,de Havilland Canada DHC-8-400, 1998, 2 Turboprop engines
https://asn.flightsafety.org/database/type/COMT,de Havilland DH-106 Comet, 1949, 4 Jet engines
https://asn.flightsafety.org/database/type/HERN,de Havilland DH-114 Heron, 1950, 4 Piston engines
https://asn.flightsafety.org/database/type/dh66,de Havilland DH-66 Hercules, 1926, 3 Piston engines
https://asn.flightsafety.org/database/type/dh86,de Havilland DH-86 Express, 1934, 4 Piston engines
https://asn.flightsafety.org/database/type/dh91,de Havilland DH-91 Albatross, 1937, 4 Piston engines
https://asn.flightsafety.org/database/type/dh95,de Havilland DH-95 Flamingo, 1938, 4 Piston engines
https://asn.flightsafety.org/database/type/d338,Dewoitine D.338, 1935, 3 Piston engines
https://asn.flightsafety.org/database/type/D228,Dornier 228, 1981, 2 Turboprop engines
https://asn.flightsafety.org/database/type/D328,Dornier 328, 1991, 2 Turboprop engines
https://asn.flightsafety.org/database/type/J328,Dornier 328JET, 1998, 2 Jet engines
https://asn.flightsafety.org/database/type/dor,Dornier Do R Superwal, 1926, 4 Piston engines
https://asn.flightsafety.org/database/type/D28D,Dornier Do-28D Skyservant, 1966, 2 Piston engines
https://asn.flightsafety.org/database/type/c124,Douglas C-124 Globemaster, 1949, 4 Piston engines
https://asn.flightsafety.org/database/type/C133,Douglas C-133 Cargomaster, 1956, 4 Turboprop engines
https://asn.flightsafety.org/database/type/c74,Douglas C-74 Globemaster I, 1945, 4 Piston engines
https://asn.flightsafety.org/database/type/dc1,Douglas DC-1, 1933, 2 Piston engines
https://asn.flightsafety.org/database/type/DC2,Douglas DC-2, 1934, 2 Piston engines
https://asn.flightsafety.org/database/type/DC3,Douglas DC-3, 1935, 2 Piston engines
https://asn.flightsafety.org/database/type/DC4,Douglas DC-4, 1938, 4 Piston engines
https://asn.flightsafety.org/database/type/dc5,Douglas DC-5, 1939, 2 Piston engines
https://asn.flightsafety.org/database/type/DC6,Douglas DC-6, 1946, 4 Piston engines
https://asn.flightsafety.org/database/type/DC7,Douglas DC-7, 1953, 4 Piston engines
https://asn.flightsafety.org/database/type/DC81,Douglas DC-8-10, , 4 Jet engines
https://asn.flightsafety.org/database/type/DC82,Douglas DC-8-20, , 4 Jet engines
https://asn.flightsafety.org/database/type/DC83,Douglas DC-8-30, , 4 Jet engines
https://asn.flightsafety.org/database/type/DC84,Douglas DC-8-40, , 4 Jet engines
https://asn.flightsafety.org/database/type/DC85,Douglas DC-8-50, , 4 Jet engines
https://asn.flightsafety.org/database/type/DC3S,Douglas R4D-8, 1949, 2 Piston engines
https://asn.flightsafety.org/database/type/EA50,Eclipse 500, 2002, 2 Jet engines
https://asn.flightsafety.org/database/type/_E170,Embraer E-Jet family, , 2 Jet engines
https://asn.flightsafety.org/database/type/E110,Embraer EMB-110 Bandeirante, 1968, 2 Turboprop engines
https://asn.flightsafety.org/database/type/E120,Embraer EMB-120 Brasilia, 1983, 2 Turboprop engines
https://asn.flightsafety.org/database/type/E135,Embraer EMB-135/140, 1998, 2 Jet engines
https://asn.flightsafety.org/database/type/E35L,Embraer EMB-135BJ Legacy, 2001, 2 Jet engines
https://asn.flightsafety.org/database/type/E145,Embraer EMB-145, 1995, 2 Jet engines
https://asn.flightsafety.org/database/type/E45X,Embraer EMB-145XR, , 2 Jet engines
https://asn.flightsafety.org/database/type/E50P,Embraer EMB-500 Phenom 100, 2007, 2 Jet engines
https://asn.flightsafety.org/database/type/E55P,Embraer EMB-505 Phenom 300, 2008, 2 Jet engines
https://asn.flightsafety.org/database/type/E545,Embraer EMB-545 Legacy 450, 2013, 2 Jet engines
https://asn.flightsafety.org/database/type/E550,Embraer EMB-550 Legacy 500, 2012, 2 Jet engines
https://asn.flightsafety.org/database/type/_E135,Embraer ERJ family, , 2 Jet engines
https://asn.flightsafety.org/database/type/E170,Embraer ERJ-170, 2002, 2 Jet engines
https://asn.flightsafety.org/database/type/E190,Embraer ERJ-190, 2004, 2 Jet engines
https://asn.flightsafety.org/database/type/E195,Embraer ERJ-195, , 2 Jet engines
https://asn.flightsafety.org/database/type/KC39,Embraer KC-390, 2015, 2 Jet engines
https://asn.flightsafety.org/database/type/_E500,Embraer Phenom (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/SJET,Excel-Jet Sport-Jet, 2006, 1 Jet engine
https://asn.flightsafety.org/database/type/C119,Fairchild C-119 Flying Boxcar, 1947, 2 Piston engines
https://asn.flightsafety.org/database/type/C123,Fairchild C-123 Provider, 1949, 2 Piston engines
